molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL1945254,CCCCc1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1.Cl,IC50,'=',8600,nM
CHEMBL1945260,CN(C)CCCCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(Br)cc2)cc1.Cl,IC50,'=',55000,nM
CHEMBL449883,CC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)O,IC50,'=',33300,nM
CHEMBL1835296,CNC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](C)NC(C)=O,IC50,'=',2900,nM
CHEMBL3222141,O=C(Nc1cccc(Br)c1)c1cccc(S(=O)(=O)N2CCCCCC2)c1,IC50,'=',15500,nM
CHEMBL4858490,CC(=O)Nc1ccccc1CN1CC(C(N)=O)Oc2ccccc21,IC50,'>',60000,nM
CHEMBL4847107,Cc1ccccc1CN1CC(C(N)=O)Oc2ccccc21,IC50,'=',22200,nM
CHEMBL4872699,O=C(C1CN(Cc2ccccc2)c2ccccc2O1)N1CCCCC1,IC50,'>',60000,nM
CHEMBL3222141,O=C(Nc1cccc(Br)c1)c1cccc(S(=O)(=O)N2CCCCCC2)c1,IC50,'=',15500,nM
CHEMBL224864,,,,,
CHEMBL6291,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,IC50,'=',800,nM
CHEMBL596657,,,,,
CHEMBL1945257,Cc1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1.Cl,IC50,'>',90000,nM
CHEMBL1945672,CN(C)CCCCC(=O)Nc1ccc(NC(=O)NC(=O)c2ccc(C(C)(C)C)cc2)cc1.Cl,IC50,'=',88400,nM
CHEMBL1254127,CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,IC50,,,
CHEMBL1254694,COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)c1cccnc1)NC(=O)[C@H](C)NC(C)=O,IC50,,,
CHEMBL1254538,CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)/C=C(/C)C(F)(F)F)C(=O)N[C@@H](C)C(=O)O,IC50,,,
CHEMBL1254305,C/C=C/C(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](C)C(=O)OC,IC50,,,
